"1"|"HALPERIN, David"|"David Halperin es profesor en el departamento de literatura inglesa de la universidad de Michigan en Ann Arbor. Helenista de formación, también enseñó sociología, estudios feministas y teoría queer . Es el autor de Cent ans d'honosexualité et autres essais sur l'amour grec . Dirigió The Lesbian and Gay Studies Reader (1993) y es coeditor de la revista GLQ: A Journal of Lesbian and Gay Studies . Halperin ha recibido numerosos premios honoríficos tanto por sus trabajos universitarios como por su acción política. Ahora continúa sus investigaciones sobre la historia de la homosexualidad.<br>"|"1halperin.jpg"|"Halperin"|"39"
"2"|"PUIG, Manuel"|"Manuel Puig (General Villegas,1932- Cuernavaca, 1990). Tuvo el temprano reconocimieno de sus pares: Severo Sarduy, Juan Goytisolo, Ítalo Calvino, José Bianco, y de figuras señeras de la crítica literaria como Emir Rodríguez Monegal, Ángel Rama y Enrique Pezzoni. A esto se sumó el éxito de público, tanto de lectores como de espectadores de las versiones de sus obras. No oabstante, su figura aún hoy despierta polémicas y genera incomodidad, tal vez por los efectos insospechados del autoritarismo en el terreno de la cultura que su escritura pone en cuestión.<br>Es autor de las novelas La traición de Rita Hayword, Boquitas Pintadas, The Buenos Aires Affair, El beso de la mujer araña, Pubis angelical, Cae la noche tropical, Maldición eterna a quien lea estas páginas, Sangre de amor correspondido. El beso de la mujer araña fue llevada al cine y adaptada para teatro con gran éxito. <br>"|"puig_.jpg"|"Puig"|"69"
"3"|"FILLOY, Juan"|"Juan Filloy (1894-2000) nació y vivió en Córdoba, Argentina, y fue uno de los autores más secretos y prolíficos de nuestra literatura. Elogiado por Cortázar y Alfonso Reyes, su novela Caterva influyó en Leopoldo Marechal y muy especialmente en su Adán Buenosayres. Su obra incluye más de 50 títulos (algunos todavía inéditos), que abarcan los géneros novela, cuento, poesía y ensayo. Traducida recientemente al alemán, su novela Op Oloop se convirtió en un éxito de crítica y de lectores. Principales obras: Novela: ¡Estafen! (1932), Op Oloop (1934), Caterva (1937), La potra (1973), Vil&amp;Vil (1975), La purga (1977). Relatos: Los Ochoa (1972), Tal cual (1980), Gentuza (1991). Poesía: Balumba (1933), Sonetos (1996). Crónica: Periplo (1931), Aquende (1935). Ensayo: Urumpta (1976), Sagesse (1994).<br>"|"1foto-filloy.jpg"|"Filloy"|"30"
"4"|"LAWRENCE, D. H."|"David Herbert Richards Lawrence (1885-1930) fue un escritor inglés, autor de novelas, cuentos, poemas, relatos de viaje, ensayos y crítica literaria.  Fue un escritor complejo, atormentado, de vasta y sostenida influencia en la literatura inglesa contemporánea. Hijo de un minero y una maestra, Lawrence conoció y ahondó desde sus inicios las contradicciones y contrastes en las relaciones humanas, y muy especialmente entre hombre y mujer.<br>Principales obras: Novela: Hijos y amantes (1913), El aroiris (1915), Mujeres enamoradas (1920), La vara de Aarón (1922), Canguro (1923), La serpiente emplumada (1926), El amante de Lady Chatterley (1928). Cuento: El oficial prusiano y otros relatos (1914), Inglaterra, mi Inglaterra y otros relatos (1922), Sol (1926), El amor entre las parvas (1930). Poesía: (1916), Tortugas (1921), Pájaros, bestias y flores (1923), Últimos poemas (1932). Relato de viaje: Mañanas en México (1927), Paseos etruscos (1932). Ensayo: El psicoanálisis y lo inconsciente (1921), Ensayos sobre literatura clásica norteamericana (1923), Pornografía y obscenidad (1929), Apocalipsis (1931).<br>"|"1dh.jpg"|"Lawrence"|"44"
"5"|"DI GIORGIO, Marosa"|"Marosa di Giorgio nació en Salto, Uruguay en 1932 y murió en Montevideo el 17 de agosto de 2004. Tal como señaló Ángel Rama, es una de las voces mayores de la lírica latinoamericana. Su extensa obra poética está compilada en Los papeles salvajes, que reúne su producción desde su primer libro, Poemas (1954), hasta Diamelas a Clementina Médici (2000). En narrativa ha publicado Misales (1993, traducido al francés y reeditado en Chile y en Colombia), Camino de las pedrerías (1997), Reina Amelia (1999) y Rosa mística (2003). Sus Relatos Eróticos completos están reunidos en su libro póstumo El Gran Ratón Dorado, el Gran Ratón de lilas. Su obra ha sido traducida al inglés, francés, portugués e italiano."|"marosa2.jpg"|"di Giorgio"|"24"
"6"|"SACHER-MASOCH, Leopold"|"Leopold von Sacher-Masoch nació en 1836 en Lemberg, Galitzia (actual Lvov, Ucrania), en el seno de una familia de ascendencia española, alemana y eslava. Su padre era jefe de policía. Estudió en las universidades de Praga y Graz. En esta ciudad, entre 1856 y 1870, se desempeñó como privatdozent de historia general, cargo que abandonó para dedicarse a la literatura. Sus novelas y relatos, en los que lo histórico se une con lo folclórico, lo político y lo erótico, le reportaron en su momento un éxito considerable. En 1873 se casó con Aurora von Rümelin, quien adoptó el nombre de Wanda, la protagonista de La venus de las pieles . Murió en Lindheim, Alemania, en 1895. Al mismo tiempo que su obra caía injustamente en el olvido, su nombre empezó a designar una entidad clínica, el &quot;masoquismo&quot;, campo al que ha quedado asociado. Su obra más significativa está agrupada en el ciclo El legado de Caín, en el que se incluyen, entre otras novelas, La Venus de las pieles, La mujer divorciada, La madre de Dios, La pescadora de almas y El amor de Platón.<br>"|"masoch.jpg"|"Sacher-Masoch"|"74"
"7"|"DE CAMPOS, Haroldo"|"Haroldo de Campos (1929-2003), poeta, traductor y ensayista brasileño, fue también uno de los fundadores del movimiento de Poesía Concreta, junto con Augusto de Campos y Décio Pignatari. Autor de más de treinta libros y centenares de ensayos, traducidos a varios idiomas. Profesor emérito de la PUC/SP y profesor invitado de las Universidades de Yale y Austin, entre otras. Tradujo textos de Mallarmé, Ezra Pound, James Joyce, Dante Alighieri, Octavio Paz, Maiakóvski, además de poemas bíblicos, teatro japonés, poesía griega y latina. Ha publicado, entre otros libros, Galáxias, Crisantempo, A máquina do mundo repensada (poesía); Metalinguagem e outras metas, O arco-íris branco. Ensaios de literatura e cultura (ensayo). Fue galardonado con el Premio Jabuti (1991, 1992, 1994, 1999), Premio Roger Caillois (1999) y Premio Octavio Paz (1999), entre otras distinciones.<br>"|"haroldo2.jpg"|"de Campos"|"22"
"8"|"TORRES, Mora"|"Mora Torres nació en la ciudad de Santa Fe en 1949; actualmente vive en Buenos Aires. Trabaja en diferentes medios editoriales y periodísticos. <br>Ha publicado Como quien entra en una fiesta, poesía,Torres Agüero, 1988. Otros libros inéditos suyos son: Si sueñas con Li Po, Envíos de la niña de piedra, Cuadernos de la dicha, Las señoras que amaban a señoras, La medida del vaso de plata, Los cornalitos en la red y la poesía, El calendario, El azar es una flor <br>Recibió el primer premio de poesía José Pedroni -(Premios Trienales de Literatura de la Pcia. de Santa Fe), en 1970; el primer premio del Fondo Nacional de las Artes, poesía, en 1987, y el tercer premio del Fondo Nacional de la Artes, poesía, en 2003.<br>"|"1morita.jpg"|"Torres"|"82"
"9"|"COELHO, Oliverio"|"Oliverio Coelho nació en Buenos Aires, el 13 agosto de 1977. Fue editado en Argentina, en España y en México. Entre otras distinciones, recibió el Premio Latinoamericano de cuento Edmundo Valadés, en México, y el Premio Único Bienal Latinoamericana José Rafael Pocaterra, en Venezuela, por sus relatos inéditos . Publicó Tierra de vigilia (novela), La víctima y los sueños (nouvelle), El umbral (cuento), y Los invertebrables (novela). Borneo es el segundo libro de una trilogía futurista iniciada con Los invertebrables"|"oliverio_ch.jpg"|"Coelho"|"19"
"10"|"LINK, Daniel"|"<p>Daniel Link (Buenos Aires, 1959) es catedr&aacute;tico y escritor. Dicta cursos de Literatura del Siglo XX en la Universidad de Buenos Aires. Es miembro de la Latin American Studies Asociation y de la Associa&ccedil;&atilde;o Brasileira de Literaturas Comparadas. Ha publicado las recopilaciones cr&iacute;ticas El juego de los cautos. La literatura policial de Edgar Poe a P. D. James y Escalera al cielo. Utop&iacute;as y ciencia ficci&oacute;n, los libros de ensayos La chancha con cadenas y C&oacute;mo se lee, los poemarios La clausura de febrero y otros poemas malos y Campo intelectual y otros poemas y las novelas Los a&ntilde;os noventa y Monserrat. Organiz&oacute; los vol&uacute;menes especiales La voz del otro y Literaturas comparadas: la construcci&oacute;n de una teor&iacute;a, de la revista Filolog&iacute;a, y edit&oacute; la obra de Rodolfo Walsh (El violento oficio de escribir, Ese hombre y otros papeles personales). En octubre de 2003 recibi&oacute; una beca de la Fundaci&oacute;n Rockefeller para terminar La ansiedad en el Bellagio Study and Conference Center.</p>"|"link01.jpg"|"Link"|"51"
